name,pulse_width,pulse_rate,firing_rate
LIF_simple,1.0,5.0,10.0
LIF_Markov,1.0,5.0,0.0
AdEx_simple,1.0,5.0,0.0
AdEx_Markov,1.0,5.0,40.0
LIF_simple,1.0,52.5,110.0
LIF_Markov,1.0,52.5,0.0
AdEx_simple,1.0,52.5,0.0
AdEx_Markov,1.0,52.5,260.0
LIF_simple,1.0,100.0,200.0
LIF_Markov,1.0,100.0,0.0
AdEx_simple,1.0,100.0,0.0
AdEx_Markov,1.0,100.0,355.0
LIF_simple,2.0,5.0,10.0
LIF_Markov,2.0,5.0,0.0
AdEx_simple,2.0,5.0,0.0
AdEx_Markov,2.0,5.0,65.0
LIF_simple,2.0,52.5,110.0
LIF_Markov,2.0,52.5,0.0
AdEx_simple,2.0,52.5,0.0
AdEx_Markov,2.0,52.5,355.0
LIF_simple,2.0,100.0,200.0
LIF_Markov,2.0,100.0,0.0
AdEx_simple,2.0,100.0,0.0
AdEx_Markov,2.0,100.0,460.0
LIF_simple,5.0,5.0,20.0
LIF_Markov,5.0,5.0,0.0
AdEx_simple,5.0,5.0,0.0
AdEx_Markov,5.0,5.0,100.0
LIF_simple,5.0,52.5,220.0
LIF_Markov,5.0,52.5,0.0
AdEx_simple,5.0,52.5,0.0
AdEx_Markov,5.0,52.5,485.0
LIF_simple,5.0,100.0,400.0
LIF_Markov,5.0,100.0,0.0
AdEx_simple,5.0,100.0,0.0
AdEx_Markov,5.0,100.0,590.0
